"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","WHH","WHD","WHA"
"1","SP1","09/09/00","Barcelona","Malaga",2,1,"H",2,0,"H",1.28,3.9,7.9,1.25,4.3,8,1.35,3.75,8,1.3,4.33,8.5,1.28,4.5,8
"2","SP1","09/09/00","La Coruna","Ath Bilbao",2,0,"H",0,0,"D",1.51,3.2,6.2,1.55,3.3,4.5,1.55,3.25,5.5,1.53,3.5,5.5,1.57,3.5,5
"3","SP1","09/09/00","Real Madrid","Valencia",2,1,"H",0,0,"D",1.65,3.2,4.1,1.6,3.2,4.2,1.55,3.5,5,1.67,3.3,4.75,1.66,3.3,4.5
"4","SP1","09/09/00","Sociedad","Santander",2,2,"D",0,0,"D",1.85,3.15,3.45,1.8,3,3.5,1.7,3.4,4,1.85,3.25,3.8,1.8,3.25,3.75
"5","SP1","09/09/00","Zaragoza","Espanol",1,2,"A",0,0,"D",1.7,3.1,4.3,1.7,3.1,3.8,1.7,3.2,4.3,1.73,3.25,4.33,1.72,3.2,4.33
"6","SP1","10/09/00","Las Palmas","Alaves",0,3,"A",0,1,"A",2.35,3.15,2.6,2.2,2.9,2.7,2.6,3.2,2.35,2.4,3.2,2.6,2.3,3.1,2.75
"7","SP1","10/09/00","Mallorca","Valladolid",1,1,"D",1,0,"H",1.8,3.1,3.9,1.8,3,3.5,1.7,3.4,4,1.73,3.25,4.33,1.72,3.2,4.33
"8","SP1","10/09/00","Numancia","Oviedo",1,0,"H",0,0,"D",2,3.1,3.3,1.85,2.9,3.4,2.1,3.2,3,1.95,3.1,3.6,1.9,3.1,3.6
"9","SP1","10/09/00","Osasuna","Celta",0,2,"A",0,0,"D",2.65,2.9,2.35,2.4,2.9,2.4,2.6,3.2,2.35,2.8,3,2.38,NA,NA,NA
"10","SP1","10/09/00","Villarreal","Vallecano",1,5,"A",0,3,"A",2.25,3.1,2.75,2.1,2.9,2.9,2.4,3.25,2.5,2.3,3.1,2.8,2.25,3.1,2.8
"11","SP1","16/09/00","Ath Bilbao","Barcelona",3,1,"H",1,1,"D",3.2,3,2.05,2.7,2.9,2.2,3.2,3.2,2,3.5,3.25,1.9,3.4,3.25,1.9
"12","SP1","16/09/00","Malaga","Real Madrid",3,3,"D",1,1,"D",3.2,3.25,1.95,3,2.9,2,3.75,3.2,1.85,3.4,3.2,1.92,3.2,3.2,2
"13","SP1","16/09/00","Santander","La Coruna",0,3,"A",0,1,"A",2.7,3.1,2.2,2.7,2.9,2.2,3,3,2.2,2.88,3.2,2.2,2.62,3.1,2.37
"14","SP1","16/09/00","Valencia","Mallorca",4,0,"H",1,0,"H",1.5,3.4,5.55,1.5,3.4,4.7,1.55,3.5,5,1.4,4,7,1.57,3.5,5
"15","SP1","16/09/00","Valladolid","Numancia",2,0,"H",1,0,"H",1.66,3.2,4.7,1.6,3.2,4.2,1.65,3.25,4.5,1.67,3.4,4.5,1.72,3.4,4
"16","SP1","17/09/00","Alaves","Villarreal",0,1,"A",0,0,"D",1.47,3.6,5.7,1.45,3.5,5,1.4,3.75,7,1.4,4,6.5,1.5,3.6,5.5
"17","SP1","17/09/00","Celta","Sociedad",4,1,"H",3,0,"H",1.6,3.3,4.9,1.55,3.3,4.5,1.55,3.25,5.5,1.45,3.5,6,1.57,3.5,5
"18","SP1","17/09/00","Espanol","Osasuna",1,2,"A",0,0,"D",1.51,3.5,5.5,1.45,3.5,5,1.35,3.75,8,1.45,3.5,6,NA,NA,NA
"19","SP1","17/09/00","Oviedo","Las Palmas",2,2,"D",0,1,"A",1.7,3.4,3.95,1.6,3.2,4.2,1.65,3.4,4.3,1.55,3.4,4.5,1.72,3.4,4
